"","Sp_code","Sceintific_names","Year_S","Year_E"
"1","Arg","Argyrosomus regius",2003,2018
"2","BAT","Batoidea (Superorder)",2005,2015
"3","Bbo","Boops boops",2002,2018
"4","Bca","Balistes carolinensis",1992,2018
"5","Ccr","Caranx crysos/Alepes djedaba",2001,2018
"23","DLS","Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo)",1995,2018
"6","Eer","Engraulis encrasicolus / Stolephorus insularis ",2002,2018
"7","EPI","Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus)",1991,2018
"8","MUL","Mullus sp. (Mullus barbatus/Mullus surmuletus)",1991,2018
"9","MUL_UP","Mullus/Upeneus sp. (Mullus barbatus/Mullus surmuletus/Upeneus pori/Upeneus moluccensis)",2001,2018
"10","Nra","Nemipterus randalli",2008,2018
"11","Pca","Pagrus caeruleostictus",2002,2018
"12","Per","Pagellus erythrinus",1999,2015
"13","SAR","Sardinella sp. (Sardinella aurita/Sardinella maderensis/Etrumeus golanii/Spratelloides delicatulus/Sardinella gibbosa /Dussumieria elopsoides )",1999,2018
"14","Sco","scomberomorus commerson",2001,2018
"15","Sd","Seriola dumerili",1995,2018
"16","Sja","scomber japonicus",2008,2018
"17","SPH","Sphyraena sp. (Sphyraena sphyraena/Sphyraena chrysotaenia/Sphyraena viridensis)",1995,2018
"18","Ssi","Sillago sihama",2001,2018
"19","Sud","Saurida undosquamis/Synodus saurus",1995,2018
"20","TRA","Trachurus sp. (Trachurus trachurus/Trachurus mediterraneus/Decapterus Russelli)",2001,2018
"21","Umo","Upeneus moluccensis",2001,2018
"22","Upo","Upeneus pori",2005,2018
