"","Sp_code","Sceintific_names"
"1","Arg","Argyrosomus regius"
"2","BAT","Batoidea (Superorder)"
"3","Bbo","Boops boops"
"4","Bca","Balistes carolinensis"
"5","Ccr","Caranx crysos/Alepes djedaba"
"6","DLS","Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo)"
"7","Eer","Engraulis encrasicolus / Stolephorus insularis "
"8","EPI","Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus)"
"9","MUL","Mullus sp. (Mullus barbatus/Mullus surmuletus)"
"10","MUL_UP","Mullus/Upeneus sp. (Mullus barbatus/Mullus surmuletus/Upeneus pori/Upeneus moluccensis)"
"11","Nra","Nemipterus randalli"
"12","Pca","Pagrus caeruleostictus"
"13","Per","Pagellus erythrinus"
"14","SAR","Sardinella sp. (Sardinella aurita/Sardinella maderensis/Etrumeus golanii/Spratelloides delicatulus/Sardinella gibbosa /Dussumieria elopsoides )"
"15","Sco","scomberomorus commerson"
"16","Sd","Seriola dumerili"
"17","Sja","scomber japonicus"
"18","SPH","Sphyraena sp. (Sphyraena sphyraena/Sphyraena chrysotaenia/Sphyraena viridensis)"
"19","Ssi","Sillago sihama"
"20","Sud","Saurida undosquamis/Synodus saurus"
"21","TRA","Trachurus sp. (Trachurus trachurus/Trachurus mediterraneus/Decapterus Russelli)"
"22","Umo","Upeneus moluccensis"
"23","Upo","Upeneus pori"
