,Sceintific name,model_name,AIC,delta AIC,dev_ex,deviance expalined [%]
Ccr.1,Caranx crysos/Alepes djedaba,co,1034.1,0.0,0.3,25.1
Ccr.2,,co_int,1037.6,3.5,0.3,29.8
DLS.1,Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo),co_int,2512.6,0.0,0.3,26.9
DLS.2,,co,2675.9,163.3,0.2,22.2
MUL.1,Mullus sp. (Mullus barbatus/Mullus surmuletus),co_int,2505.3,0.0,0.4,41.6
MUL.2,,co,2513.3,8.1,0.4,38.3
Nra.1,Nemipterus randalli,co,5403.0,0.0,0.5,47.0
Nra.2,,co_int,5408.9,5.9,0.5,48.0
Per.1,Pagellus erythrinus,co,709.2,0.0,0.3,28.7
Per.2,,co_int,715.7,6.5,0.4,37.9
