"","model_name","AIC","delta"
"red","co_3",35399.654826422,0
"2","co_int",35404.0622939613,4.40746753927669
"3","co",36258.8020802434,859.147253821393
"4","simp_3",36304.0165607546,904.36173433264
"5","simp_int",36313.0187856558,913.363959233771
"6","simp",37222.9541412884,1823.29931486636
"med","co_int",37798.317992754,0
"21","co_3",37799.1669400594,0.848947305406909
"31","co",37972.2551272589,173.937134504973
"41","simp_int",40321.8038796447,2523.48588689073
"51","simp_3",40322.0941247428,2523.77613198887
"61","simp",40509.8911668524,2711.57317409847
"all","co_int",78576.2176122374,0
"22","co_3",78578.2187007205,2.00108848311356
"32","co",78831.9872233142,255.769611076801
"42","simp_3",87233.8698947884,8657.65228255106
"52","simp_int",87235.3547803369,8659.13716809957
"62","simp",87648.7977899302,9072.58017769283
