,Model name,AIC score,Delta AIC,Deviance explained
Whole known origin species,co_3,25159.8,0.0,42.3
,year_3,25270.2,110.4,40.2
,co_5,25278.0,118.2,41.7
,year_5,25335.5,175.7,39.7
,co_1,25517.6,357.8,42.5
,year_1,25687.8,527.9,40.3
,co,25853.3,693.5,42.5
,year,26051.3,891.4,40.3
Indigenous species,co_3,18423.3,0.0,17.9
,year_3,18459.5,36.1,16.4
,co_1,18575.2,151.8,19.0
,co_5,18578.4,155.1,16.7
,year_5,18594.9,171.6,15.3
,year_1,18649.7,226.3,16.9
,co,18765.9,342.5,19.2
,year,18857.4,434.0,17.0
Alien species,co_3,8502.4,0.0,15.3
,year_3,8572.2,69.8,12.1
,co_1,8579.7,77.3,15.6
,year_1,8697.7,195.2,12.3
,co,8739.1,236.7,15.7
,co_5,8757.3,254.8,14.6
,year_5,8788.2,285.8,10.4
,year,8880.8,378.4,12.4
