"","index","Sp_code","X","Common_name","scintific_name","Origin","records"
"1",1,"Aal","1","Ben_Gurion","Alectis alexandrinus ","Med","0"
"2",2,"Arg","1","Musar","Argyrosomus regius","Med","217"
"3",4,"Bbo","1","Rofus","Boops boops","Med","2523"
"4",5,"Bca","1","Hazir","Balistes carolinensis","Med","948"
"5",6,"DIP","Diplodus sp","","Diplodus saragus","Med","2714"
"6",7,"DIP","Diplodus sp","","Diplodus vulgaris","Med","3128"
"7",8,"DIP","Diplodus sp","","Diplodus cervinus","Med","422"
"8",9,"DIP","Diplodus sp","Saragus","Diplodus puntazoo","Med","762"
"10",11,"Eha","1","Daba","Epinephelus haifensis","Med","2"
"11",12,"EPI","Epinephelus sp","","Epinephelus marginatus","Med","2276"
"12",13,"EPI","Epinephelus sp","Lokus_bibi","Epinephelus aeneus","Med","1386"
"13",14,"Lbu","1","Shed_Yam","Lophius budegassa","Med","574"
"14",15,"Lmo","1","Marmir","lithognathus mormyrus","Med","1104"
"15",16,"Lvu","1","Kalamari","Loligo vulgaris","Med","Na"
"43",44,"Mae","1","Gambari_Adom","Metapenaeopsis aegyptia","Red",NA
"16",17,"Mce","Mugil cephalus/Liza sp","","Liza aurata","Med","1175"
"17",18,"Mce","Mugil cephalus/Liza sp","Bori","Liza ramada","Med","2268"
"18",19,"Mme","1","Bakala_masmerim","Merluccius merluccius","Med","1502"
"19",20,"MUL","Mullus sp","","Mullus barbatus","Med","909"
"20",21,"MUL","Mullus sp","Soltan","Mullus surmuletus","Med","3170"
"44",45,"Nra","1","Barbon","Nemipterus randalli","Red","76"
"21",22,"Ovu","1","Tamnoon","Octopus vulgaris","Med","Na"
"22",23,"Pca","1","Farida","Pagrus caeruleostictus","Med","905"
"23",24,"Per","1","Gerbida","Pagellus erythrinus","Med","1370"
"24",25,"Pin","1","Vak Vak","Pomadasys incisus","Med",""
"45",46,"Pja","1","Gambari","Penaeus japonicus","Red","Na"
"25",26,"Plo","1","Varod","Parapeneaus longirostris","Med","Na"
"26",27,"Psa","1","Gomber","Pomatomus saltatrix ","Med",""
"46",47,"Pse","1","Crab","Portunus segnis","Red",NA
"27",28,"Rrh","1","Gitara","Rhinobatos rhinobatos","Med","787"
"30",31,"Sau","1","Tziporot","Sparus aurata","Med","1433"
"47",48,"Sco","1","Palamud","scomberomorus commerson","Red","2117"
"31",32,"Sd","1","Intias","Seriola dumerili","Med","19716"
"48",49,"Sig","Siganus sp","Aras","Siganus luridus","Red",""
"49",50,"Sig","Siganus sp","Aras","Siganus rivulatus","Red",""
"32",33,"Sja","1","Scombri","scomber japonicus","Med","9183"
"33",34,"Sof","1","Sabida","Sepia officinalis","Med","Na"
"34",35,"SPI","Spicara sp","","Spicara manena","Med","1700"
"35",36,"SPI","Spicara sp","Rofus_Fake","Spicara smaris","Med","499"
"53",54,"Ssi","1","Televisia","Sillago sihama","Red","1286"
"36",37,"Sso","1","Muslach","Solea solea","Med","11756"
"56",57,"Umo","1","Pas_Tzahov","Upeneus moluccensis","Red","953"
"57",58,"Upo","1","Soltan_Fake","Upeneus pori","Red","58"
"39",40,"WHT","Lithognathus mormyrus/Diplodus sp","","Diplodus saragus","Med","dup"
"40",41,"WHT","Lithognathus mormyrus/Diplodus sp","","Diplodus vulgaris","Med","dup"
"41",42,"WHT","Lithognathus mormyrus/Diplodus sp","","Diplodus cervinus","Med","dup"
"42",43,"WHT","Lithognathus mormyrus/Diplodus sp","Lavan","Diplodus puntazoo","Med","dup"
