"","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Aal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,9,4,5,5,11,1,4,4,0
"2","Arg",0,0,0,0,0,1,0,0,2,1,0,34,4,1,6,20,14,4,7,1,13,10,3,4,40,7,4
"3","BAT",0,0,0,0,3,0,0,1,1,0,1,1,3,5,11,2,11,25,14,39,23,45,15,17,0,0,0
"4","Bbo",1,1,3,0,6,4,0,2,1,1,6,12,10,23,17,2,27,82,88,75,58,118,53,76,59,35,26
"5","Bca",0,1,7,1,20,5,0,2,1,37,12,6,4,0,10,0,28,28,59,21,12,18,10,57,39,23,9
"6","Ccr",0,0,0,0,17,2,0,0,1,8,29,45,29,14,16,9,48,92,127,85,47,20,69,103,88,65,34
"7","Dce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2
"8","DIP",0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,0,4,1,2,1,4,8,2,2,10,0,1
"9","Eer",0,0,0,0,0,0,0,0,0,1,7,0,2,0,4,1,5,5,11,9,2,10,8,14,7,10,12
"10","Eha",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","EPI",15,21,8,3,67,26,1,7,23,48,43,23,26,19,28,5,36,27,51,8,9,21,18,35,23,31,24
"12","Lbu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Lmo",0,0,0,0,9,0,0,0,2,5,5,6,9,8,10,0,8,2,24,24,8,32,16,20,17,22,6
"14","Mce",0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Mme",0,0,0,0,2,0,0,0,1,7,11,4,1,0,0,0,1,0,0,2,5,0,0,2,2,1,3
"16","MUL",32,18,2,31,148,53,9,73,81,100,85,83,87,122,103,21,63,66,71,2,72,104,16,95,66,26,21
"17","MUL_UP",5,5,29,0,2,0,0,0,0,3,5,55,34,5,5,5,14,2,4,11,35,39,6,82,35,53,49
"18","Nra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,116,324,158,250,211,102,317,321,279,198
"19","Pca",1,2,1,1,6,6,0,2,1,9,5,5,3,4,12,13,19,4,10,19,21,47,31,16,11,15,15
"20","Per",0,0,0,0,24,0,0,2,6,8,10,7,7,18,10,11,79,73,30,12,15,42,12,5,1,2,0
"21","Pin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"22","Psa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,3,0,0
"23","Rrh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"24","SAR",0,0,0,0,1,0,0,0,8,5,18,5,22,64,32,16,44,20,57,25,43,39,25,20,41,30,12
"25","Sau",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
"26","Sco",0,0,0,1,3,0,1,4,7,14,47,24,45,42,38,42,95,149,80,19,32,80,114,43,95,129,42
"27","Sd",0,2,1,1,14,7,0,12,2,13,9,20,16,11,8,2,16,30,54,27,14,68,19,14,22,16,11
"28","Sha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"29","Sig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"30","Sja",0,0,0,0,8,0,0,0,0,4,9,5,0,3,2,1,15,29,39,37,38,22,17,110,27,26,29
"31","Sma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","SPH",1,5,5,3,47,11,0,12,31,55,28,26,49,59,18,10,109,56,57,12,8,39,41,39,53,46,36
"33","SPI",0,0,0,0,2,1,0,1,0,2,0,7,0,5,6,0,13,8,0,3,0,5,6,0,0,1,1
"34","Ssi",0,0,0,0,0,0,1,0,0,4,3,2,2,1,0,4,9,5,4,13,5,17,8,18,20,14,6
"35","Sso",3,17,4,0,1,0,0,6,6,2,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0
"36","Sud",6,0,0,5,143,44,0,18,17,10,30,20,32,7,19,21,150,186,365,207,145,158,171,397,274,274,180
"37","TRA",0,0,0,0,5,3,0,4,5,11,5,22,10,35,18,14,14,21,54,23,15,34,27,13,14,37,8
"38","Umo",1,1,1,5,9,7,1,6,4,45,99,70,36,71,131,40,208,123,180,136,86,249,136,145,198,153,61
"39","Upo",0,0,0,0,0,0,0,6,1,1,0,0,0,4,12,3,20,26,21,23,5,14,20,34,30,24,22
"40","WHT",5,1,3,7,72,14,2,26,45,96,63,62,51,63,53,22,79,10,9,6,22,29,25,13,4,2,2
"41","Net_num",452,295,176,159,499,238,32,174,159,289,270,309,258,284,257,102,381,389,518,281,418,504,322,485,394,373,252
"42","YearMonth",452,295,176,159,499,238,32,174,159,289,270,309,258,284,257,102,381,389,518,281,418,504,322,485,394,373,252
"43","DLS",5,1,3,7,77,14,2,26,47,103,68,68,60,68,64,22,87,12,33,31,31,66,39,34,26,23,8
