Sceintific names,Sp_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Hauls Sum,Year_S,Year_E,Num of Years
Caranx crysos/Alepes djedaba,Ccr,0,2,0,0,9,0,0,0,0,3,2,3,0,2,6,0,2,18,10,4,1,0,0,0,0,0,0,51,2001,2012,12
Lithognathus mormyrus/Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo,DLS,1,0,0,1,37,3,0,8,23,20,14,13,13,9,21,5,26,2,0,2,7,7,0,0,0,0,0,210,1995,2013,19
Mullus barbatus/Mullus surmuletus,MUL,1,2,1,1,24,8,2,18,0,19,3,12,4,18,0,0,0,0,1,0,0,1,0,0,0,0,0,115,1991,2013,23
Nemipterus randalli,Nra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,2,4,9,3,7,1,33,2008,2018,11
Pagellus erythrinus,Per,0,0,0,0,0,0,0,1,1,1,1,2,1,3,0,1,0,0,1,3,0,4,0,0,0,0,0,19,1998,2013,16
Seriola dumerili,Sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,18,13,14,15,3,90,2013,2018,6
scomber japonicus,Sja,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,5,3,2,3,0,0,0,0,0,17,2007,2013,7
Sphyraena sphyraena/ Sphyraena viridensis/ Sphyraena chrysotaenia,SPH,0,0,1,2,1,2,0,1,1,2,1,2,5,0,2,2,2,0,2,0,0,1,0,0,0,0,0,27,1993,2013,21
Saurida undosquamis/ Synodus saurus,Sud,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,6,15,35,2013,2018,6
Upeneus moluccensis,Umo,1,0,0,1,2,0,2,4,1,2,18,8,6,1,12,5,6,3,12,3,9,4,1,2,0,7,0,109,1994,2017,24
